ensg_id	external_gene_name	chromosome_name	description
ENSG00000001167	NFYA	6	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]
ENSG00000001631	KRIT1	7	KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]
ENSG00000002016	RAD52	12	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]
ENSG00000002822	MAD1L1	7	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]
ENSG00000004838	ZMYND10	3	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]
ENSG00000004948	CALCR	7	calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]
ENSG00000005379	TSPOAP1	17	TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]
ENSG00000005961	ITGA2B	17	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]
ENSG00000006695	COX10	17	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]
ENSG00000007062	PROM1	4	prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]
ENSG00000008516	MMP25	16	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]
ENSG00000010072	SPRTN	1	SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]
ENSG00000010165	EEF1AKNMT	1	eEF1A lysine and N-terminal methyltransferase [Source:HGNC Symbol;Acc:HGNC:24248]
ENSG00000010327	STAB1	3	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]
ENSG00000010610	CD4	12	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]
ENSG00000011275	RNF216	7	ring finger protein 216 [Source:HGNC Symbol;Acc:HGNC:21698]
ENSG00000011523	CEP68	2	centrosomal protein 68 [Source:HGNC Symbol;Acc:HGNC:29076]
ENSG00000013503	POLR3B	12	RNA polymerase III subunit B [Source:HGNC Symbol;Acc:HGNC:30348]
ENSG00000015520	NPC1L1	7	NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898]
ENSG00000015592	STMN4	8	stathmin 4 [Source:HGNC Symbol;Acc:HGNC:16078]
ENSG00000021488	SLC7A9	19	solute carrier family 7 member 9 [Source:HGNC Symbol;Acc:HGNC:11067]
ENSG00000023516	AKAP11	13	A-kinase anchoring protein 11 [Source:HGNC Symbol;Acc:HGNC:369]
ENSG00000028277	POU2F2	19	POU class 2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9213]
ENSG00000034533	ASTE1	3	asteroid homolog 1 [Source:HGNC Symbol;Acc:HGNC:25021]
ENSG00000047410	TPR	1	translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]
ENSG00000047662	FAM184B	4	family with sequence similarity 184 member B [Source:HGNC Symbol;Acc:HGNC:29235]
ENSG00000048162	NOP16	5	NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934]
ENSG00000049283	EPN3	17	epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]
ENSG00000051341	POLQ	3	DNA polymerase theta [Source:HGNC Symbol;Acc:HGNC:9186]
ENSG00000052850	ALX4	11	ALX homeobox 4 [Source:HGNC Symbol;Acc:HGNC:450]
ENSG00000053438	NNAT	20	neuronatin [Source:HGNC Symbol;Acc:HGNC:7860]
ENSG00000054598	FOXC1	6	forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]
ENSG00000054967	RELT	11	RELT TNF receptor [Source:HGNC Symbol;Acc:HGNC:13764]
ENSG00000058866	DGKG	3	diacylglycerol kinase gamma [Source:HGNC Symbol;Acc:HGNC:2853]
ENSG00000059728	MXD1	2	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]
